# name                          ?         FEC   mfec  mfecchannel hubaddress portadd   rocid     FED   channel   roc#
BPix_BmO_SEC1_LYR1_LDR1H_MOD2_ROC4 A1 6    1       1          30        1      4    1260     5     0
BPix_BmO_SEC1_LYR1_LDR1H_MOD2_ROC5 A1 6    1       1          30        1      5    1260     5     1
BPix_BmO_SEC1_LYR1_LDR1H_MOD2_ROC6 A2 6    1       1          30        1      6    1260     6     0
BPix_BmO_SEC1_LYR1_LDR1H_MOD2_ROC7 A2 6    1       1          30        1      7    1260     6     1
BPix_BmO_SEC1_LYR1_LDR1H_MOD2_ROC8 B1 6    1       1          30        2      8    1260     7     0
BPix_BmO_SEC1_LYR1_LDR1H_MOD2_ROC9 B1 6    1       1          30        2      9    1260     7     1
BPix_BmO_SEC1_LYR1_LDR1H_MOD2_ROC10 B2 6    1       1          30        2      10    1260     8     0
BPix_BmO_SEC1_LYR1_LDR1H_MOD2_ROC11 B2 6    1       1          30        2      11    1260     8     1
BPix_BmO_SEC1_LYR1_LDR1F_MOD2_ROC0 A1 6    1       1          31        2      0    1260     3     0
BPix_BmO_SEC1_LYR1_LDR1F_MOD2_ROC1 A1 6    1       1          31        2      1    1260     3     1
BPix_BmO_SEC1_LYR1_LDR1F_MOD2_ROC2 A2 6    1       1          31        2      2    1260     4     0
BPix_BmO_SEC1_LYR1_LDR1F_MOD2_ROC3 A2 6    1       1          31        2      3    1260     4     1
BPix_BmO_SEC1_LYR1_LDR1F_MOD2_ROC12 B1 6    1       1          31        1      12    1260     1     0
BPix_BmO_SEC1_LYR1_LDR1F_MOD2_ROC13 B1 6    1       1          31        1      13    1260     1     1
BPix_BmO_SEC1_LYR1_LDR1F_MOD2_ROC14 B2 6    1       1          31        1      14    1260     2     0
BPix_BmO_SEC1_LYR1_LDR1F_MOD2_ROC15 B2 6    1       1          31        1      15    1260     2     1
BPix_BmO_SEC1_LYR1_LDR1H_MOD3_ROC4 A1 6    1       1          28        1      4    1260     31     0
BPix_BmO_SEC1_LYR1_LDR1H_MOD3_ROC5 A1 6    1       1          28        1      5    1260     31     1
BPix_BmO_SEC1_LYR1_LDR1H_MOD3_ROC6 A2 6    1       1          28        1      6    1260     32     0
BPix_BmO_SEC1_LYR1_LDR1H_MOD3_ROC7 A2 6    1       1          28        1      7    1260     32     1
BPix_BmO_SEC1_LYR1_LDR1H_MOD3_ROC8 B1 6    1       1          28        2      8    1260     29     0
BPix_BmO_SEC1_LYR1_LDR1H_MOD3_ROC9 B1 6    1       1          28        2      9    1260     29     1
BPix_BmO_SEC1_LYR1_LDR1H_MOD3_ROC10 B2 6    1       1          28        2      10    1260     30     0
BPix_BmO_SEC1_LYR1_LDR1H_MOD3_ROC11 B2 6    1       1          28        2      11    1260     30     1
BPix_BmO_SEC1_LYR1_LDR1F_MOD3_ROC0 A1 6    1       1          29        2      0    1260     27     0
BPix_BmO_SEC1_LYR1_LDR1F_MOD3_ROC1 A1 6    1       1          29        2      1    1260     27     1
BPix_BmO_SEC1_LYR1_LDR1F_MOD3_ROC2 A2 6    1       1          29        2      2    1260     28     0
BPix_BmO_SEC1_LYR1_LDR1F_MOD3_ROC3 A2 6    1       1          29        2      3    1260     28     1
BPix_BmO_SEC1_LYR1_LDR1F_MOD3_ROC12 B1 6    1       1          29        1      12    1260     25     0
BPix_BmO_SEC1_LYR1_LDR1F_MOD3_ROC13 B1 6    1       1          29        1      13    1260     25     1
BPix_BmO_SEC1_LYR1_LDR1F_MOD3_ROC14 B2 6    1       1          29        1      14    1260     26     0
BPix_BmO_SEC1_LYR1_LDR1F_MOD3_ROC15 B2 6    1       1          29        1      15    1260     26     1
BPix_BmO_SEC1_LYR1_LDR1H_MOD4_ROC4 A1 6    1       1          26        1      4    1261     21     0
BPix_BmO_SEC1_LYR1_LDR1H_MOD4_ROC5 A1 6    1       1          26        1      5    1261     21     1
BPix_BmO_SEC1_LYR1_LDR1H_MOD4_ROC6 A2 6    1       1          26        1      6    1261     22     0
BPix_BmO_SEC1_LYR1_LDR1H_MOD4_ROC7 A2 6    1       1          26        1      7    1261     22     1
BPix_BmO_SEC1_LYR1_LDR1H_MOD4_ROC8 B1 6    1       1          26        2      8    1261     23     0
BPix_BmO_SEC1_LYR1_LDR1H_MOD4_ROC9 B1 6    1       1          26        2      9    1261     23     1
BPix_BmO_SEC1_LYR1_LDR1H_MOD4_ROC10 B2 6    1       1          26        2      10    1261     24     0
BPix_BmO_SEC1_LYR1_LDR1H_MOD4_ROC11 B2 6    1       1          26        2      11    1261     24     1
BPix_BmO_SEC1_LYR1_LDR1F_MOD4_ROC0 A1 6    1       1          27        2      0    1261     17     0
BPix_BmO_SEC1_LYR1_LDR1F_MOD4_ROC1 A1 6    1       1          27        2      1    1261     17     1
BPix_BmO_SEC1_LYR1_LDR1F_MOD4_ROC2 A2 6    1       1          27        2      2    1261     18     0
BPix_BmO_SEC1_LYR1_LDR1F_MOD4_ROC3 A2 6    1       1          27        2      3    1261     18     1
BPix_BmO_SEC1_LYR1_LDR1F_MOD4_ROC12 B1 6    1       1          27        1      12    1261     19     0
BPix_BmO_SEC1_LYR1_LDR1F_MOD4_ROC13 B1 6    1       1          27        1      13    1261     19     1
BPix_BmO_SEC1_LYR1_LDR1F_MOD4_ROC14 B2 6    1       1          27        1      14    1261     20     0
BPix_BmO_SEC1_LYR1_LDR1F_MOD4_ROC15 B2 6    1       1          27        1      15    1261     20     1
BPix_BmO_SEC1_LYR2_LDR1F_MOD1_ROC0 A1 6    1       1          25        0      0    1260     15     0
BPix_BmO_SEC1_LYR2_LDR1F_MOD1_ROC1 A1 6    1       1          25        0      1    1260     15     1
BPix_BmO_SEC1_LYR2_LDR1F_MOD1_ROC2 A1 6    1       1          25        0      2    1260     15     2
BPix_BmO_SEC1_LYR2_LDR1F_MOD1_ROC3 A1 6    1       1          25        0      3    1260     15     3
BPix_BmO_SEC1_LYR2_LDR1F_MOD1_ROC4 A2 6    1       1          25        1      4    1260     16     0
BPix_BmO_SEC1_LYR2_LDR1F_MOD1_ROC5 A2 6    1       1          25        1      5    1260     16     1
BPix_BmO_SEC1_LYR2_LDR1F_MOD1_ROC6 A2 6    1       1          25        1      6    1260     16     2
BPix_BmO_SEC1_LYR2_LDR1F_MOD1_ROC7 A2 6    1       1          25        1      7    1260     16     3
BPix_BmO_SEC1_LYR2_LDR1F_MOD1_ROC8 B1 6    1       1          25        2      8    1260     13     0
BPix_BmO_SEC1_LYR2_LDR1F_MOD1_ROC9 B1 6    1       1          25        2      9    1260     13     1
BPix_BmO_SEC1_LYR2_LDR1F_MOD1_ROC10 B1 6    1       1          25        2      10    1260     13     2
BPix_BmO_SEC1_LYR2_LDR1F_MOD1_ROC11 B1 6    1       1          25        2      11    1260     13     3
BPix_BmO_SEC1_LYR2_LDR1F_MOD1_ROC12 B2 6    1       1          25        3      12    1260     14     0
BPix_BmO_SEC1_LYR2_LDR1F_MOD1_ROC13 B2 6    1       1          25        3      13    1260     14     1
BPix_BmO_SEC1_LYR2_LDR1F_MOD1_ROC14 B2 6    1       1          25        3      14    1260     14     2
BPix_BmO_SEC1_LYR2_LDR1F_MOD1_ROC15 B2 6    1       1          25        3      15    1260     14     3
BPix_BmO_SEC1_LYR2_LDR1F_MOD2_ROC0 A1 6    1       1          24        0      0    1260     9     0
BPix_BmO_SEC1_LYR2_LDR1F_MOD2_ROC1 A1 6    1       1          24        0      1    1260     9     1
BPix_BmO_SEC1_LYR2_LDR1F_MOD2_ROC2 A1 6    1       1          24        0      2    1260     9     2
BPix_BmO_SEC1_LYR2_LDR1F_MOD2_ROC3 A1 6    1       1          24        0      3    1260     9     3
BPix_BmO_SEC1_LYR2_LDR1F_MOD2_ROC4 A2 6    1       1          24        1      4    1260     10     0
BPix_BmO_SEC1_LYR2_LDR1F_MOD2_ROC5 A2 6    1       1          24        1      5    1260     10     1
BPix_BmO_SEC1_LYR2_LDR1F_MOD2_ROC6 A2 6    1       1          24        1      6    1260     10     2
BPix_BmO_SEC1_LYR2_LDR1F_MOD2_ROC7 A2 6    1       1          24        1      7    1260     10     3
BPix_BmO_SEC1_LYR2_LDR1F_MOD2_ROC8 B1 6    1       1          24        2      8    1260     11     0
BPix_BmO_SEC1_LYR2_LDR1F_MOD2_ROC9 B1 6    1       1          24        2      9    1260     11     1
BPix_BmO_SEC1_LYR2_LDR1F_MOD2_ROC10 B1 6    1       1          24        2      10    1260     11     2
BPix_BmO_SEC1_LYR2_LDR1F_MOD2_ROC11 B1 6    1       1          24        2      11    1260     11     3
BPix_BmO_SEC1_LYR2_LDR1F_MOD2_ROC12 B2 6    1       1          24        3      12    1260     12     0
BPix_BmO_SEC1_LYR2_LDR1F_MOD2_ROC13 B2 6    1       1          24        3      13    1260     12     1
BPix_BmO_SEC1_LYR2_LDR1F_MOD2_ROC14 B2 6    1       1          24        3      14    1260     12     2
BPix_BmO_SEC1_LYR2_LDR1F_MOD2_ROC15 B2 6    1       1          24        3      15    1260     12     3
BPix_BmO_SEC1_LYR2_LDR1F_MOD3_ROC0 A1 6    1       1          23        0      0    1260     41     0
BPix_BmO_SEC1_LYR2_LDR1F_MOD3_ROC1 A1 6    1       1          23        0      1    1260     41     1
BPix_BmO_SEC1_LYR2_LDR1F_MOD3_ROC2 A1 6    1       1          23        0      2    1260     41     2
BPix_BmO_SEC1_LYR2_LDR1F_MOD3_ROC3 A1 6    1       1          23        0      3    1260     41     3
BPix_BmO_SEC1_LYR2_LDR1F_MOD3_ROC4 A2 6    1       1          23        1      4    1260     42     0
BPix_BmO_SEC1_LYR2_LDR1F_MOD3_ROC5 A2 6    1       1          23        1      5    1260     42     1
BPix_BmO_SEC1_LYR2_LDR1F_MOD3_ROC6 A2 6    1       1          23        1      6    1260     42     2
BPix_BmO_SEC1_LYR2_LDR1F_MOD3_ROC7 A2 6    1       1          23        1      7    1260     42     3
BPix_BmO_SEC1_LYR2_LDR1F_MOD3_ROC8 B1 6    1       1          23        2      8    1260     43     0
BPix_BmO_SEC1_LYR2_LDR1F_MOD3_ROC9 B1 6    1       1          23        2      9    1260     43     1
BPix_BmO_SEC1_LYR2_LDR1F_MOD3_ROC10 B1 6    1       1          23        2      10    1260     43     2
BPix_BmO_SEC1_LYR2_LDR1F_MOD3_ROC11 B1 6    1       1          23        2      11    1260     43     3
BPix_BmO_SEC1_LYR2_LDR1F_MOD3_ROC12 B2 6    1       1          23        3      12    1260     44     0
BPix_BmO_SEC1_LYR2_LDR1F_MOD3_ROC13 B2 6    1       1          23        3      13    1260     44     1
BPix_BmO_SEC1_LYR2_LDR1F_MOD3_ROC14 B2 6    1       1          23        3      14    1260     44     2
BPix_BmO_SEC1_LYR2_LDR1F_MOD3_ROC15 B2 6    1       1          23        3      15    1260     44     3
BPix_BmO_SEC1_LYR2_LDR1F_MOD4_ROC0 A1 6    1       1          22        0      0    1260     45     0
BPix_BmO_SEC1_LYR2_LDR1F_MOD4_ROC1 A1 6    1       1          22        0      1    1260     45     1
BPix_BmO_SEC1_LYR2_LDR1F_MOD4_ROC2 A1 6    1       1          22        0      2    1260     45     2
BPix_BmO_SEC1_LYR2_LDR1F_MOD4_ROC3 A1 6    1       1          22        0      3    1260     45     3
BPix_BmO_SEC1_LYR2_LDR1F_MOD4_ROC4 A2 6    1       1          22        1      4    1260     46     0
BPix_BmO_SEC1_LYR2_LDR1F_MOD4_ROC5 A2 6    1       1          22        1      5    1260     46     1
BPix_BmO_SEC1_LYR2_LDR1F_MOD4_ROC6 A2 6    1       1          22        1      6    1260     46     2
BPix_BmO_SEC1_LYR2_LDR1F_MOD4_ROC7 A2 6    1       1          22        1      7    1260     46     3
BPix_BmO_SEC1_LYR2_LDR1F_MOD4_ROC8 B1 6    1       1          22        2      8    1260     47     0
BPix_BmO_SEC1_LYR2_LDR1F_MOD4_ROC9 B1 6    1       1          22        2      9    1260     47     1
BPix_BmO_SEC1_LYR2_LDR1F_MOD4_ROC10 B1 6    1       1          22        2      10    1260     47     2
BPix_BmO_SEC1_LYR2_LDR1F_MOD4_ROC11 B1 6    1       1          22        2      11    1260     47     3
BPix_BmO_SEC1_LYR2_LDR1F_MOD4_ROC12 B2 6    1       1          22        3      12    1260     48     0
BPix_BmO_SEC1_LYR2_LDR1F_MOD4_ROC13 B2 6    1       1          22        3      13    1260     48     1
BPix_BmO_SEC1_LYR2_LDR1F_MOD4_ROC14 B2 6    1       1          22        3      14    1260     48     2
BPix_BmO_SEC1_LYR2_LDR1F_MOD4_ROC15 B2 6    1       1          22        3      15    1260     48     3
BPix_BmO_SEC1_LYR2_LDR2F_MOD1_ROC0 A1 6    1       1          21        0      0    1261     7     0
BPix_BmO_SEC1_LYR2_LDR2F_MOD1_ROC1 A1 6    1       1          21        0      1    1261     7     1
BPix_BmO_SEC1_LYR2_LDR2F_MOD1_ROC2 A1 6    1       1          21        0      2    1261     7     2
BPix_BmO_SEC1_LYR2_LDR2F_MOD1_ROC3 A1 6    1       1          21        0      3    1261     7     3
BPix_BmO_SEC1_LYR2_LDR2F_MOD1_ROC4 A2 6    1       1          21        1      4    1261     8     0
BPix_BmO_SEC1_LYR2_LDR2F_MOD1_ROC5 A2 6    1       1          21        1      5    1261     8     1
BPix_BmO_SEC1_LYR2_LDR2F_MOD1_ROC6 A2 6    1       1          21        1      6    1261     8     2
BPix_BmO_SEC1_LYR2_LDR2F_MOD1_ROC7 A2 6    1       1          21        1      7    1261     8     3
BPix_BmO_SEC1_LYR2_LDR2F_MOD1_ROC8 B1 6    1       1          21        2      8    1261     5     0
BPix_BmO_SEC1_LYR2_LDR2F_MOD1_ROC9 B1 6    1       1          21        2      9    1261     5     1
BPix_BmO_SEC1_LYR2_LDR2F_MOD1_ROC10 B1 6    1       1          21        2      10    1261     5     2
BPix_BmO_SEC1_LYR2_LDR2F_MOD1_ROC11 B1 6    1       1          21        2      11    1261     5     3
BPix_BmO_SEC1_LYR2_LDR2F_MOD1_ROC12 B2 6    1       1          21        3      12    1261     6     0
BPix_BmO_SEC1_LYR2_LDR2F_MOD1_ROC13 B2 6    1       1          21        3      13    1261     6     1
BPix_BmO_SEC1_LYR2_LDR2F_MOD1_ROC14 B2 6    1       1          21        3      14    1261     6     2
BPix_BmO_SEC1_LYR2_LDR2F_MOD1_ROC15 B2 6    1       1          21        3      15    1261     6     3
BPix_BmO_SEC1_LYR2_LDR2F_MOD2_ROC0 A1 6    1       1          20        0      0    1261     3     0
BPix_BmO_SEC1_LYR2_LDR2F_MOD2_ROC1 A1 6    1       1          20        0      1    1261     3     1
BPix_BmO_SEC1_LYR2_LDR2F_MOD2_ROC2 A1 6    1       1          20        0      2    1261     3     2
BPix_BmO_SEC1_LYR2_LDR2F_MOD2_ROC3 A1 6    1       1          20        0      3    1261     3     3
BPix_BmO_SEC1_LYR2_LDR2F_MOD2_ROC4 A2 6    1       1          20        1      4    1261     4     0
BPix_BmO_SEC1_LYR2_LDR2F_MOD2_ROC5 A2 6    1       1          20        1      5    1261     4     1
BPix_BmO_SEC1_LYR2_LDR2F_MOD2_ROC6 A2 6    1       1          20        1      6    1261     4     2
BPix_BmO_SEC1_LYR2_LDR2F_MOD2_ROC7 A2 6    1       1          20        1      7    1261     4     3
BPix_BmO_SEC1_LYR2_LDR2F_MOD2_ROC8 B1 6    1       1          20        2      8    1261     1     0
BPix_BmO_SEC1_LYR2_LDR2F_MOD2_ROC9 B1 6    1       1          20        2      9    1261     1     1
BPix_BmO_SEC1_LYR2_LDR2F_MOD2_ROC10 B1 6    1       1          20        2      10    1261     1     2
BPix_BmO_SEC1_LYR2_LDR2F_MOD2_ROC11 B1 6    1       1          20        2      11    1261     1     3
BPix_BmO_SEC1_LYR2_LDR2F_MOD2_ROC12 B2 6    1       1          20        3      12    1261     2     0
BPix_BmO_SEC1_LYR2_LDR2F_MOD2_ROC13 B2 6    1       1          20        3      13    1261     2     1
BPix_BmO_SEC1_LYR2_LDR2F_MOD2_ROC14 B2 6    1       1          20        3      14    1261     2     2
BPix_BmO_SEC1_LYR2_LDR2F_MOD2_ROC15 B2 6    1       1          20        3      15    1261     2     3
BPix_BmO_SEC1_LYR2_LDR2F_MOD3_ROC0 A1 6    1       1          19        0      0    1261     47     0
BPix_BmO_SEC1_LYR2_LDR2F_MOD3_ROC1 A1 6    1       1          19        0      1    1261     47     1
BPix_BmO_SEC1_LYR2_LDR2F_MOD3_ROC2 A1 6    1       1          19        0      2    1261     47     2
BPix_BmO_SEC1_LYR2_LDR2F_MOD3_ROC3 A1 6    1       1          19        0      3    1261     47     3
BPix_BmO_SEC1_LYR2_LDR2F_MOD3_ROC4 A2 6    1       1          19        1      4    1261     48     0
BPix_BmO_SEC1_LYR2_LDR2F_MOD3_ROC5 A2 6    1       1          19        1      5    1261     48     1
BPix_BmO_SEC1_LYR2_LDR2F_MOD3_ROC6 A2 6    1       1          19        1      6    1261     48     2
BPix_BmO_SEC1_LYR2_LDR2F_MOD3_ROC7 A2 6    1       1          19        1      7    1261     48     3
BPix_BmO_SEC1_LYR2_LDR2F_MOD3_ROC8 B1 6    1       1          19        2      8    1261     45     0
BPix_BmO_SEC1_LYR2_LDR2F_MOD3_ROC9 B1 6    1       1          19        2      9    1261     45     1
BPix_BmO_SEC1_LYR2_LDR2F_MOD3_ROC10 B1 6    1       1          19        2      10    1261     45     2
BPix_BmO_SEC1_LYR2_LDR2F_MOD3_ROC11 B1 6    1       1          19        2      11    1261     45     3
BPix_BmO_SEC1_LYR2_LDR2F_MOD3_ROC12 B2 6    1       1          19        3      12    1261     46     0
BPix_BmO_SEC1_LYR2_LDR2F_MOD3_ROC13 B2 6    1       1          19        3      13    1261     46     1
BPix_BmO_SEC1_LYR2_LDR2F_MOD3_ROC14 B2 6    1       1          19        3      14    1261     46     2
BPix_BmO_SEC1_LYR2_LDR2F_MOD3_ROC15 B2 6    1       1          19        3      15    1261     46     3
BPix_BmO_SEC1_LYR2_LDR2F_MOD4_ROC0 A1 6    1       1          18        0      0    1261     43     0
BPix_BmO_SEC1_LYR2_LDR2F_MOD4_ROC1 A1 6    1       1          18        0      1    1261     43     1
BPix_BmO_SEC1_LYR2_LDR2F_MOD4_ROC2 A1 6    1       1          18        0      2    1261     43     2
BPix_BmO_SEC1_LYR2_LDR2F_MOD4_ROC3 A1 6    1       1          18        0      3    1261     43     3
BPix_BmO_SEC1_LYR2_LDR2F_MOD4_ROC4 A2 6    1       1          18        1      4    1261     44     0
BPix_BmO_SEC1_LYR2_LDR2F_MOD4_ROC5 A2 6    1       1          18        1      5    1261     44     1
BPix_BmO_SEC1_LYR2_LDR2F_MOD4_ROC6 A2 6    1       1          18        1      6    1261     44     2
BPix_BmO_SEC1_LYR2_LDR2F_MOD4_ROC7 A2 6    1       1          18        1      7    1261     44     3
BPix_BmO_SEC1_LYR2_LDR2F_MOD4_ROC8 B1 6    1       1          18        2      8    1261     41     0
BPix_BmO_SEC1_LYR2_LDR2F_MOD4_ROC9 B1 6    1       1          18        2      9    1261     41     1
BPix_BmO_SEC1_LYR2_LDR2F_MOD4_ROC10 B1 6    1       1          18        2      10    1261     41     2
BPix_BmO_SEC1_LYR2_LDR2F_MOD4_ROC11 B1 6    1       1          18        2      11    1261     41     3
BPix_BmO_SEC1_LYR2_LDR2F_MOD4_ROC12 B2 6    1       1          18        3      12    1261     42     0
BPix_BmO_SEC1_LYR2_LDR2F_MOD4_ROC13 B2 6    1       1          18        3      13    1261     42     1
BPix_BmO_SEC1_LYR2_LDR2F_MOD4_ROC14 B2 6    1       1          18        3      14    1261     42     2
BPix_BmO_SEC1_LYR2_LDR2F_MOD4_ROC15 B2 6    1       1          18        3      15    1261     42     3
BPix_BmO_SEC1_LYR3_LDR1F_MOD1_ROC0 A1 6    1       2          31        0      0    1261     29     0
BPix_BmO_SEC1_LYR3_LDR1F_MOD1_ROC1 A1 6    1       2          31        0      1    1261     29     1
BPix_BmO_SEC1_LYR3_LDR1F_MOD1_ROC2 A1 6    1       2          31        0      2    1261     29     2
BPix_BmO_SEC1_LYR3_LDR1F_MOD1_ROC3 A1 6    1       2          31        0      3    1261     29     3
BPix_BmO_SEC1_LYR3_LDR1F_MOD1_ROC4 A1 6    1       2          31        1      4    1261     29     4
BPix_BmO_SEC1_LYR3_LDR1F_MOD1_ROC5 A1 6    1       2          31        1      5    1261     29     5
BPix_BmO_SEC1_LYR3_LDR1F_MOD1_ROC6 A1 6    1       2          31        1      6    1261     29     6
BPix_BmO_SEC1_LYR3_LDR1F_MOD1_ROC7 A1 6    1       2          31        1      7    1261     29     7
BPix_BmO_SEC1_LYR3_LDR1F_MOD1_ROC8 A2 6    1       2          31        2      8    1261     30     0
BPix_BmO_SEC1_LYR3_LDR1F_MOD1_ROC9 A2 6    1       2          31        2      9    1261     30     1
BPix_BmO_SEC1_LYR3_LDR1F_MOD1_ROC10 A2 6    1       2          31        2      10    1261     30     2
BPix_BmO_SEC1_LYR3_LDR1F_MOD1_ROC11 A2 6    1       2          31        2      11    1261     30     3
BPix_BmO_SEC1_LYR3_LDR1F_MOD1_ROC12 A2 6    1       2          31        3      12    1261     30     4
BPix_BmO_SEC1_LYR3_LDR1F_MOD1_ROC13 A2 6    1       2          31        3      13    1261     30     5
BPix_BmO_SEC1_LYR3_LDR1F_MOD1_ROC14 A2 6    1       2          31        3      14    1261     30     6
BPix_BmO_SEC1_LYR3_LDR1F_MOD1_ROC15 A2 6    1       2          31        3      15    1261     30     7
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC0 A1 6    1       2          30        0      0    1261     31     0
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC1 A1 6    1       2          30        0      1    1261     31     1
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC2 A1 6    1       2          30        0      2    1261     31     2
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC3 A1 6    1       2          30        0      3    1261     31     3
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC4 A1 6    1       2          30        1      4    1261     31     4
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC5 A1 6    1       2          30        1      5    1261     31     5
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC6 A1 6    1       2          30        1      6    1261     31     6
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC7 A1 6    1       2          30        1      7    1261     31     7
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC8 A2 6    1       2          30        2      8    1261     32     0
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC9 A2 6    1       2          30        2      9    1261     32     1
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC10 A2 6    1       2          30        2      10    1261     32     2
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC11 A2 6    1       2          30        2      11    1261     32     3
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC12 A2 6    1       2          30        3      12    1261     32     4
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC13 A2 6    1       2          30        3      13    1261     32     5
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC14 A2 6    1       2          30        3      14    1261     32     6
BPix_BmO_SEC1_LYR3_LDR1F_MOD2_ROC15 A2 6    1       2          30        3      15    1261     32     7
BPix_BmO_SEC1_LYR3_LDR1F_MOD3_ROC0 A1 6    1       2          29        0      0    1261     25     0
